form,ideophone,item,concept,meaning,status,foil,order
noroi,n,trial,SLOW,SLOW,iconic,syehea|kekyea|hekea,268
tairana,n,trial,FLAT,FLAT|SMOOTH,prosaic,huahusyu|wuakyuku|yuakuhu,269
mutsugoi,n,trial,OILY/HEAVY (FOOD),OILY/HEAVY (food),prosaic,tyihirea|siwisea|syiyityea,270
hiroi,n,trial,SPACIOUS,SPACIOUS|WIDE,prosaic,nahea|dzakyea|zyakea,271
hizurasyii,n,trial,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light),prosaic,nagihura|dzakyikyuna|zyakikuma,272
omosyaiN,n,trial,GLAD,GLAD|HAPPY,prosaic,etyeruaQ|esenuaQ|esyemuaQ,273
hosoi,n,trial,THIN,THIN|SLENDER,prosaic,nekea|dzemea|zyegea,274
naku,n,trial,CRY,CRY|WAIL,prosaic,syuni|kuzi|huri,275
bisyoQtanee,n,trial,SHABBY,SCRUFFY|TATTY|RAGGEDY,prosaic,tyarehusyo|hanewuko|syameyuho,276
futoi,n,trial,COARSE,ROUGH|GRITTY|COARSE,prosaic,rihea|giwea|niyea,277
zyikuzyiku,y,trial,HUMID,HUMID|MUGGY,iconic,mani|wazi|hari,283
tyiNtye,n,trial,THIN,THIN|SLENDER,iconic,waQwo|yaQyo|gaQgo,284
dayai,n,trial,SLUGGISH,SLUGGISH|LETHARGIC,iconic,wutua|yutyua|hutsua,285
atsukamasyii,n,trial,RUDE,RUDE|ARROGANT|BRAZEN,iconic,uhinutyura|uwizusuna|uyirusyuma,286
atsui,n,trial,HOT,HOT,iconic,uhia|uwia|uyia,287
nureru,n,trial,WET,WET|SOGGY|DAMP,iconic,syihohi|kikyokyi|hikoki,288
syaN,y,trial,CLEAR,CLEAR|REFRESHED,iconic,ruQ|nuQ|muQ,289
samisyii,n,trial,SAD,SAD|GLUM,iconic,kutyara|musana|gusyama,290
syimiru,n,trial,FREEZE,FREEZE,iconic,ratyahi|nasakyi|masyaki,291
usui,n,trial,WEAK,BLAND (taste)|TASTELESS|WATERY (taste),iconic,ikia|imia|igia,292
syikusyiku,y,trial,CRAMPING (STOMACH),CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),iconic,rani|nazi|mari,293
