form,concept,iconic,item,meaning,foils,goodone,done,notes
syoQpee,SALTY,y,trial,SALTY|BRINY (taste),pyero|weyo|yewo,TRUE,NA,NA
zuruzuru,SLIMY,y,trial,SLIMY|GOOEY|SLIPPERY,pyiQga|wiQpa|yakyi,TRUE,NA,NA
nurunuru,STICKY,y,trial,STICKY|GOOEY|GLOOPY,yiQga|pyikya|waQki,TRUE,NA,NA
migotsu,CLEAN,n,trial,CLEAN|TIDY,ruhewa|hurepya|waweyi,TRUE,NA,NA
syibityoo,COLD TO TOUCH,n,trial,COLD|CHILLY,pyayuye|yaruwe|wuware,TRUE,NA,NA
tsumetee,COLD TO TOUCH,n,trial,COLD|CHILLY,pyayowo|yahoyo|wiromo,TRUE,NA,NA
kitanai,CUNNING,n,trial,CUNNING|SLY|SNEAKY,nuyiwua|wuwiyua|ramupyiu,TRUE,NA,NA
kogoru,FREEZE,n,trial,FREEZE,neweQka|rereQga|weheki,TRUE,NA,NA
hidoroQko,GLARING (OVERLY BRIGHT),n,trial,GLARING (light)|BLINDING (light)|DAZZLING,wuyeQgene|pyuweQkewe|nahepyere,TRUE,NA,NA
hizurasyii,GLARING (OVERLY BRIGHT),n,trial,GLARING (light)|BLINDING (light)|DAZZLING,wayaQkuwa|pyapyapyupya|nuwiQpiyu,TRUE,NA,NA
mameda,LIVELY (ENERGETIC),n,trial,LIVELY|ENERGETIC,yuyohi|wurowi|riwoyu,TRUE,NA,NA
syakiQ,LIVELY (ENERGETIC),n,trial,LIVELY|ENERGETIC,yuwaN|pyuraN|winuN,TRUE,NA,NA
tagee,NOISY,n,trial,LOUD|NOISY,wiro|miho|yuwo,TRUE,NA,NA
kaii,PRICKLING,n,trial,PRICKLING|TINGLING|SCRATCHING,niu|riu|wua,TRUE,NA,NA
nobui,RUDE,n,trial,RUDE|ARROGANT|BRAZEN,pyeraa|yewaa|weyiu,TRUE,NA,NA
kakazyiru,SCRATCH,n,trial,SCRATCH,wuwiwuka|nurirukya|rinuyaQki,TRUE,NA,NA
biNboQtarasyii,SHABBY,n,trial,SCRUFFY|TATTY|RAGGEDY,wuQwewiQpiwu|yuQreyikipyu|raQyemukyuya,TRUE,NA,NA
hosoi,SMALL,n,trial,SMALL|LITTLE|TINY,reweu|pyepyeu|neyea,TRUE,NA,NA
hiirakoi,TINGLING,n,trial,BURNING|TINGLING,nupyunea|rukyuwea|pyaQkireu,TRUE,NA,NA
bisyonure,WET,n,trial,WET|SOGGY|DAMP,rayewaQgo|wapyepyakyo|yuweyiQko,TRUE,NA,NA
kutabireta,EXHAUSTED,n,trial,EXHAUSTED|TIRED|WEARY,niyuwakyoyu|rimurapyowu|wawiyukomi,TRUE,NA,NA
ootyakuna,RUDE,n,trial,RUDE|ARROGANT|BRAZEN,ewuniwi|eyuriyi|eriwapyu,TRUE,NA,NA
tyiputoi,RUDE,n,trial,RUDE|ARROGANT|BRAZEN,rurayeu|wuyameu|yawiwea,TRUE,NA,NA
